Ergebnisse der Klausur Betriebssysteme I vom 6.2.2007


  Matr.  Punkte  Prozente

  624664    20   57%
  625249    11   31%
  653936    12   34%
  670841    16   46%
  672771    23   66%
  678241    33   94%
  678500    18   51%
  679004    28   80%
  680048    25   71%
  683029    11   31%
  690449    20   57%
  690559    13   37%
  690986    24   69%
  692227    20   57%
  692861    26   74%
  695486    15   43%
  699204    33   94%
  700685    19   54%
  700850    20   57%
  700863    13   37%
  702094    26   74%
  702104    26   74%
  703116    29   83%
  712110    22   63%
  712204    29   83%
  712479    20   57%
  714309    22   63%
  719948    34   97%
  719980    13   37%
  720212    26   74%
  720238    34   97%
  720364    26   74%
  720623    28   80%
  720649    29   83%
  720908    29   83%
  721127    25   71%
  721567    18   51%
  722061    34   97%
  725275    29   83%
  730134    20   57%
  731256    22   63%
  737234    29   83%
  737438    31   89%
  737506    11   31%
  740221    27   77%
  745501     9   26%
  745666    22   63%
  745682    31   89%
  745763    35  100%
  746226    28   80%
  746364    10   29%
  746377    31   89%
  746542    29   83%
  746610    26   74%
  746717    31   89%
  758284    13   37%
  763101    33   94%
  763240    29   83%
  763266    31   89%
  777252    20   57%
  787970    26   74%

Klausureinsicht am Mittwoch, den 6.3.2007, 10-10.30 Uhr, F 117
