Ergebnisse der Klausur Internetbasierte Geschäftssysteme vom 21.3.2007


Einsicht: Montag, 23.4.07, 13-13.30 Uhr und n. Vereinb.

  Matr.  Punkte  Prozente

  344900    31   78%
  601603    15   38%
  623432     0    0%
  623458     9   23%
  624208    30   75%
  624664    22   55%
  625249    16   40%
  632339     9   23%
  637208    29   73%
  637347     7   18%
  645452    16   40%
  647997    29   73%
  653936     9   23%
  665416     4   10%
  669111    14   35%
  678212    29   73%
  678555    34   85%
  678746    24   60%
  678966    18   45%
  682936    25   63%
  683029     7   18%
  683430    10   25%
  690821    24   60%
  690944    31   78%
  699204    29   73%
  700669    24   60%
  700737    24   60%
  702052    24   60%
  706207     7   18%
  706524    13   33%
  707154    25   63%
  713274    26   65%
  719977    17   43%
  720076    19   48%
  737454    30   75%
  737577    17   43%
  744133    26   65%
  745666    14   35%
  745695    12   30%
  757104    15   38%
  763088    22   55%
  763237    33   83%
  765358    28   70%
  770314    20   50%
  770356    30   75%
  770372    16   40%
  770408    37   93%
  770437    20   50%
  770482    23   58%
  770550    31   78%
  770576    29   73%
  770592    38   95%
  770615    32   80%
  770628    23   58%
  770725    28   70%
  770738    18   45%
  770770    26   65%
  770835    31   78%
  770851    32   80%
  770974    23   58%
  771009    27   68%
  771012    26   65%
  771025     7   18%
  771038    16   40%
  771041     0    0%
  771339    21   53%
  773269    22   55%
  775319    21   53%
  776787     2    5%
  777252    13   33%
  784805    22   55%
  787572    33   83%
  793579    35   88%
