Ergebnisse der Klausur Internetbasierte Geschäftssysteme vom 28.6.2007


Einsicht: wird noch bekanntgegeben

  Matr.  Punkte  Prozente

  550717    22   61%
  623432    10   28%
  625304    28   78%
  637350    13   36%
  638210     4   11%
  653936     5   14%
  669111     6   17%
  678335     0    0%
  678966    18   50%
  683029     6   17%
  683061    25   69%
  683249     8   22%
  683278    23   64%
  685865    29   81%
  690559     5   14%
  706126     9   25%
  706207     4   11%
  720076    13   36%
  730134    19   53%
  737577    10   28%
  745666    15   42%
  745695    12   33%
  770372    20   56%
