Ergebnisse der Klausur Serviceorientierte Architekturen vom 12.7.2007


Einsicht: wird noch bekanntgegeben

  Matr.  Punkte  Prozente

  624664    19   51%
  637677    36   97%
  647557    17   46%
  668581    30   81%
  670841    14   38%
  678092    23   62%
  678212    33   89%
  678908    34   92%
  700795    37  100%
  700805    28   76%
  712819    23   62%
  712916    18   49%
  719980    18   49%
  719993    16   43%
  720898    26   70%
  721127    21   57%
  725673    32   86%
  758284    22   59%
  763088    31   84%
  777252    17   46%
  810397    19   51%
